Id_MMAP,Class,mAP,Time
1,black_dress,(0.4148148148148148, {0.20459757532392228})
1,black_pants,(0.10042884990253412, {0.1309354645865304})
1,black_shirt,(0.05632343846629562, {0.11711563382829938})
1,black_shoes,(0.041137582085857945, {0.12951070921761648})
1,black_shorts,(0.26249779733521056, {0.10528966358729772})
1,blue_dress,(0.07709447572132301, {0.12110396793910436})
1,blue_pants,(0.08591923949066806, {0.10471974100385394})
1,blue_shirt,(0.16158647209432742, {0.09802344867161342})
1,blue_shoes,(0.26539871622094163, {0.10628724098205566})
1,blue_shorts,(0.28709306279182056, {0.10215531076703753})
1,brown_pants,(0.36288998957904, {0.0927518435886928})
1,brown_shoes,(0.32931540954939964, {0.10044401032584054})
1,brown_shorts,(0.31855308894717765, {0.10457747323172432})
1,green_pants,(0.12246856318284889, {0.0998753479548863})
1,green_shirt,(0.2346759449700626, {0.10344239643641881})
1,green_shoes,(0.09657544836116265, {0.09731050900050572})
1,green_shorts,(0.13195045695045696, {0.10258276121956962})
1,red_dress,(0.3976003659039374, {0.10329522405351911})
1,red_pants,(0.17165096807953953, {0.10756962639944893})
1,red_shoes,(0.05743145743145743, {0.0961712087903704})
1,white_dress,(0.18595764067425558, {0.1000190121786935})
1,white_pants,(0.22224841956984814, {0.10429263114929199})
1,white_shoes,(0.09922225922225923, {0.23693762506757463})
2,black_dress,(0.2635670678527821, {11.19981278691973})
2,black_pants,(0.2584354089258354, {3.335261242730277})
2,black_shirt,(0.5040369248438356, {4.724505254200527})
2,black_shoes,(0.1951283750518062, {7.015000309262957})
2,black_shorts,(0.24348026234580855, {3.7482545375823975})
2,blue_dress,(0.26141345427059715, {4.141687461308071})
2,blue_pants,(0.34585017001329516, {3.711073023932321})
2,blue_shirt,(0.2968206055408436, {6.097225938524518})
2,blue_shoes,(0.20172893014507917, {6.528518574578421})
2,blue_shorts,(0.2510701759470232, {12.182530845914568})
2,brown_pants,(0.4578018045335946, {4.919046197618757})
2,brown_shoes,(0.2767981214691741, {5.596190384456089})
2,brown_shorts,(0.49805752646459356, {8.029858452933174})
2,green_pants,(0.3956929129960666, {4.0724688938685825})
2,green_shirt,(0.4319725140487481, {3.3181681292397633})
2,green_shoes,(0.042375812508744164, {3.4293429170336043})
2,green_shorts,(0.24867807208036843, {3.0791826248168945})
2,red_dress,(0.23911123501459633, {4.017656769071307})
2,red_pants,(0.23641961486789073, {6.6338096005575995})
2,red_shoes,(0.38285047220469215, {4.126715047018869})
2,white_dress,(0.4752071817873923, {5.5343367372240335})
2,white_pants,(0.49257034794893106, {4.479669094085693})
2,white_shoes,(0.4702593907237079, {3.2944387708391463})
3,black_dress,(0.22656445357352034, {0.07566458838326591})
3,black_pants,(0.38899094136489093, {0.04445242881774902})
3,black_shirt,(0.3453907759408708, {0.04046290261404855})
3,black_shoes,(0.2747952131410778, {0.04260005269731794})
3,black_shorts,(0.2757988043702329, {0.05129006930759975})
3,blue_dress,(0.1707383144805505, {0.06012497629438128})
3,blue_pants,(0.15524819791737082, {0.06055256298610142})
3,blue_shirt,(0.1567793039597551, {0.1352097647530692})
3,blue_shoes,(0.2789550377567295, {0.07309041704450335})
3,blue_shorts,(0.14792914292153642, {0.07166481018066406})
3,brown_pants,(0.3141132934823455, {0.06411426407950264})
3,brown_shoes,(0.24161716083204784, {0.04844181878226144})
3,brown_shorts,(0.35588060344910905, {0.06026680128914969})
3,green_pants,(0.34071388912453554, {0.04829944883074079})
3,green_shirt,(0.30604434954364584, {0.05057910510471889})
3,green_shoes,(0.1556859806859807, {0.04146075248718262})
3,green_shorts,(0.13837683320097796, {0.0490114688873291})
3,red_dress,(0.3730568303876574, {0.04317055429731097})
3,red_pants,(0.23816442124472553, {0.049438885280064175})
3,red_shoes,(0.2778753852799701, {0.04046344757080078})
3,white_dress,(0.2366712384599646, {0.041459662573678155})
3,white_pants,(0.30551848242078067, {0.04430973529815674})
3,white_shoes,(0.23752780225058792, {0.03989362716674805})
4,black_dress,(0.1717351653305, {2.4867562225886752})
4,black_pants,(0.38167002154397117, {2.080861874989101})
4,black_shirt,(0.2980010068885402, {1.6092780998774938})
4,black_shoes,(0.1745259188045314, {1.975003617150443})
4,black_shorts,(0.2779450018580453, {1.4656516483851842})
4,blue_dress,(0.1989552666105461, {1.6347664764949255})
4,blue_pants,(0.15694245534471096, {1.5636753695351737})
4,blue_shirt,(0.1582465716332993, {1.4616619859422957})
4,blue_shoes,(0.3382037208822923, {1.482321330479213})
4,blue_shorts,(0.37053123881131395, {1.552994898387364})
4,brown_pants,(0.29842188217658144, {1.8178325380597795})
4,brown_shoes,(0.24683754735495536, {1.7937525340488978})
4,brown_shorts,(0.3818669980069322, {1.6575324875967843})
4,green_pants,(0.34058857584132757, {4.33052202633449})
4,green_shirt,(0.3076752895630447, {5.022815942764282})
4,green_shoes,(0.19542375326536818, {1.707791532788958})
4,green_shorts,(0.13954114507957555, {1.6470204421452113})
4,red_dress,(0.30910051787676884, {1.9753320217132568})
4,red_pants,(0.21691084598822696, {2.4661275999886647})
4,red_shoes,(0.299052947622946, {2.4694734641483853})
4,white_dress,(0.2632944589453, {1.6410352843148368})
4,white_pants,(0.3162583351409773, {3.63969087600708})
4,white_shoes,(0.3556764084944323, {1.8068814958844865})